text,emotion
I feel amazing today and everything is going great,happy
This is the best day ever and I am smiling so much,happy
I am excited and full of joy right now,happy
Feeling cheerful and upbeat today,happy
I feel so low and empty today,sad
I am heartbroken and just want to cry,sad
Everything feels heavy and depressing,sad
I miss those days and feel lonely,sad
I am so annoyed and furious right now,angry
This situation makes me really mad,angry
I am frustrated and ready to explode,angry
I hate how this turned out,angry
I feel peaceful and calm tonight,relaxed
Just chilling and taking deep breaths,relaxed
I want to relax with soft music,relaxed
Feeling mellow and stress free,relaxed
